"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30"
"35","ENSG00000121410",8,4,0,2,2,0,0,0,1,0,3,6,0,3,0,1,0,0,6,3,0,0,5,3,2,1,6,6,9,0
"36","ENSG00000268895",161,177,133,20,17,314,28,0,117,147,158,68,3,3,9,1,1,245,118,174,218,266,134,131,82,114,209,123,180,125
"37","ENSG00000148584",0,3,1,2,2,2,0,0,1,1,4,0,0,0,0,1,0,3,0,2,2,1,1,1,0,1,1,5,1,4
"38","ENSG00000175899",17,5,1,0,0,29,0,1,8,17,0,8,0,2,2,0,0,40,3,10,0,2,5,1,2,3,7,2,4,24
"39","ENSG00000245105",87,77,38,13,0,0,5,12,26,97,162,33,1,22,25,9,0,133,49,33,0,1,207,85,16,117,85,34,30,30
"40","ENSG00000166535",2,2,0,1,2,0,0,4,0,2,1,2,4,121,1,0,0,0,1,3,2,4,0,3,1,0,1,1,1,1
"43","ENSG00000291190",4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,3,1,0
"44","ENSG00000184389",18,20,8,2,0,35,0,0,55,64,10,78,0,0,8,0,7,4,39,21,0,1,15,77,24,50,122,30,7,44
"45","ENSG00000128274",0,1,117,0,0,0,2,0,3,1,0,0,1,1,2,0,0,1,1,4,0,2,0,0,4,1,1,2,8,3
"46","ENSG00000118017",0,0,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"47","ENSG00000094914",714,737,827,181,283,631,124,2,427,830,666,609,0,0,41,6,0,1292,518,710,511,693,841,445,400,855,1219,476,510,998
"48","ENSG00000081760",413,374,156,11,44,194,39,100,153,591,344,144,2,36,39,89,2,762,251,371,109,231,432,320,141,363,393,288,244,487
"49","ENSG00000291019",0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,1,0,0,0,2
"50","ENSG00000114771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"51","ENSG00000197953",7,0,0,2,1,2,0,0,0,3,1,0,0,0,0,1,0,6,0,0,1,0,0,1,2,2,0,0,0,1
"52","ENSG00000188984",3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,1,0,2
"53","ENSG00000204518",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0
"54","ENSG00000109576",4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0
"56","ENSG00000103591",818,733,169,167,77,215,57,0,341,989,262,360,0,51,4,1,47,397,720,886,146,0,798,856,489,345,471,383,358,508
"57","ENSG00000115977",2222,1941,2691,7279,9210,2383,565,973,1570,3404,1319,3166,220,276,342,2464,5036,2425,1442,470,2,1969,1022,1005,763,1975,2397,1616,921,2077
"58","ENSG00000087884",57,44,27,20,79,40,3,0,53,62,27,70,0,0,5,4,0,184,66,91,0,489,45,51,63,46,56,52,51,85
"59","ENSG00000127837",1601,1390,2079,240,397,1000,380,6,1157,2804,1237,1203,2,166,84,57,468,3078,1120,1952,358,1523,1608,1068,790,1271,1731,1108,1766,4179
"60","ENSG00000129673",2,1,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,6,1,0,1,0,1,0,6,0,1,0,3
"61","ENSG00000131043",464,651,496,4,135,288,94,34,319,1005,372,329,1,72,17,24,0,899,399,699,185,778,680,589,484,359,559,403,567,2397
"62","ENSG00000205002",1,4,0,2,7,0,0,2,7,0,2,1,3,0,2,3,0,1,5,4,0,0,1,0,0,1,7,0,1,0
"64","ENSG00000124608",527,596,523,68,90,397,77,446,203,339,503,313,8,69,21,1,0,957,418,326,3,444,442,269,107,533,582,337,332,590
"65","ENSG00000266967",42,70,12,120,58,131,3,0,24,15,42,56,0,2,1,280,3,41,29,22,0,0,31,24,9,48,42,37,10,20
"66","ENSG00000157426",266,236,79,1,6,63,14,0,72,259,97,33,0,0,0,0,0,99,198,287,0,0,341,200,78,119,100,128,62,84
"67","ENSG00000149313",411,352,45,3,9,78,9,3,75,433,76,36,1,106,1,0,1,106,335,454,0,0,504,347,127,133,190,144,82,145
"68","ENSG00000008311",66,95,0,0,0,86,0,0,20,37,68,5,0,2,0,0,0,82,33,35,0,1,129,47,4,41,81,28,13,14
"69","ENSG00000275700",2389,2316,1697,661,858,1093,365,279,1669,3093,1479,2045,219,122,178,203,626,3259,1725,2090,76,2361,2225,2312,2342,2157,2418,1706,1544,2297
"70","ENSG00000181409",1290,1205,1020,259,422,100,404,52,1301,1397,728,4158,160,418,525,612,9,358,626,3973,0,1759,1694,2575,254,3387,3081,2418,1281,497
"77","ENSG00000183044",562,1003,668,118,276,198,183,76,335,847,243,314,116,52,86,37,156,764,488,1406,0,481,651,921,307,795,1572,629,594,548
"81","ENSG00000165029",1830,1398,222,117,124,199,23,347,68,848,158,358,4,378,89,1,115,174,1100,1003,1,584,761,2467,1615,1400,1110,630,196,1290
"82","ENSG00000154263",32,34,1,1,0,0,0,0,0,9,5,2,0,1,0,0,0,13,13,23,0,1,26,31,7,8,18,16,2,4
"83","ENSG00000251595",1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,7,1,2,1,1,1,0,0
"84","ENSG00000144452",0,3,0,1,2,0,0,0,0,2,1,0,0,1,0,0,1,1,1,1,1,1,0,1,2,2,1,4,2,2
"85","ENSG00000179869",442,36,1,2,7,3,0,0,3,13,5,12,1,0,7,0,0,1,30,178,0,3,61,115,19,36,66,72,14,217
"86","ENSG00000238098",9,5,4,0,0,0,1,0,3,1,7,23,2,0,1,0,0,1,3,4,2,0,6,3,1,3,13,7,6,7
"87","ENSG00000107331",8085,7564,6057,107,527,1879,679,160,3420,5647,7423,5610,238,851,546,806,1,7042,5780,4345,134,4848,7397,6246,860,10131,9007,5683,4360,3440
"88","ENSG00000167972",520,485,617,76,220,204,55,3,378,432,339,392,9,40,26,0,1,644,321,239,0,508,415,197,57,431,554,248,436,196
"89","ENSG00000198691",5,1,2,1,0,8,0,0,2,0,1,1,1,1,2,1,0,1,0,3,2,2,1,2,2,0,1,8,8,4
"90","ENSG00000154265",715,671,87,14,32,83,8,1,89,241,160,23,0,0,9,0,0,60,286,228,0,0,573,448,96,239,294,216,76,85
"91","ENSG00000154262",20,11,0,0,13,0,0,1,3,0,1,1,4,4,2,0,1,20,10,13,0,2,23,7,2,2,17,20,1,1
"92","ENSG00000064687",5517,5535,10239,3953,6004,7013,2763,1993,8151,8259,10170,20525,785,1275,1089,2514,1225,11726,6969,10310,539,8440,7278,11224,3355,18857,18193,8801,7941,4427
"93","ENSG00000141338",1,2,1,11,12,2,0,1,6,6,1,2,0,1,1,4,3,5,1,1,0,1,3,5,7,5,1,7,9,5
"94","ENSG00000154258",19,2,2,1,1,3,0,0,3,0,8,1,0,2,1,1,1,0,11,7,0,1,7,2,0,12,2,5,2,0
"95","ENSG00000231749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"96","ENSG00000085563",738,448,410,2,23,126,22,0,231,509,321,50,0,43,8,0,2,505,493,133,0,400,787,386,60,339,426,177,225,570
"97","ENSG00000135776",465,364,68,16,17,119,26,2,146,436,247,63,3,2,17,0,0,198,389,407,0,0,409,309,89,196,324,246,72,178
"99","ENSG00000261524",1,1,1,2,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,2,0,0,3,3,0,1,1,1,0,0
"100","ENSG00000260053",7,9,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,8,0,1,0,0,4,8,8,5,11,2,1,4
"101","ENSG00000073734",3,12,29,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,4,3,3,1,0
"102","ENSG00000005471",205,184,75,0,48,126,35,2,30,158,216,57,0,5,0,0,0,222,200,34,1,24,162,162,37,123,178,78,18,61
"103","ENSG00000004846",5,3,0,0,1,1,0,4,0,0,0,0,0,45,1,0,0,1,1,2,0,0,1,1,2,1,0,2,1,0
"104","ENSG00000115657",36,15,2,1,0,2,1,0,10,27,13,14,0,50,28,0,0,104,14,30,0,0,23,21,10,15,28,28,21,21
"105","ENSG00000131269",561,400,106,0,8,171,30,0,163,408,254,102,0,0,1,0,0,234,331,454,0,220,498,341,160,196,283,226,91,345
"106","ENSG00000197150",979,987,816,226,386,1049,249,354,609,837,1253,866,1,41,54,149,0,1512,887,817,6,510,902,482,197,963,1139,635,792,924
"107","ENSG00000150967",82,85,103,86,117,189,15,28,41,162,51,114,6,75,55,21,298,246,77,102,3,9,63,51,24,77,69,83,109,115
"108","ENSG00000103222",2916,2647,1579,241,394,1783,303,440,1030,4048,1706,1094,81,191,208,387,0,3293,2260,1932,107,1974,2566,2132,915,2331,3485,2022,1971,3286
"109","ENSG00000124574",1632,1492,1507,29,111,977,178,75,658,1097,1629,924,110,146,70,70,0,2323,1048,851,59,827,1189,697,281,1730,2015,1035,805,775
"110","ENSG00000121270",3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,1,1,1,3,0,3,2,8,3,1,13,16,3,2
"111","ENSG00000140798",2,3,0,2,3,0,0,0,1,2,1,1,2,0,1,0,0,2,1,1,0,4,0,0,3,0,1,5,1,4
"112","ENSG00000291052",7,2,0,2,36,0,0,0,0,0,0,2,0,0,1,0,1,3,1,7,0,2,1,5,2,2,1,3,9,9
"113","ENSG00000023839",210,161,90,51,8,57,4,1,33,142,65,19,0,1,0,1,0,83,93,109,0,82,177,205,39,118,227,91,39,119
"114","ENSG00000108846",468,815,1240,198,923,1349,231,288,384,749,459,793,7,216,56,449,412,2466,1041,1148,0,616,701,1334,382,364,1468,584,752,1489
"115","ENSG00000125257",267,222,56,3,11,191,30,1,45,160,83,61,0,3,13,0,2,126,150,211,0,204,153,160,41,81,194,123,57,77
"116","ENSG00000114770",2202,2108,667,222,88,568,158,1,726,1544,1154,678,24,0,63,0,0,1048,1202,1980,307,781,2516,4256,747,2499,2678,1525,866,480
"117","ENSG00000223882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","ENSG00000091262",60,37,19,0,15,0,9,0,65,113,38,39,1,25,7,0,0,39,37,96,1,73,103,114,24,80,168,66,93,125
"119","ENSG00000291057",1,1,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,5,0,0,2,3,0,3,1,2,2,8
"120","ENSG00000290943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0
"121","ENSG00000006071",3,1,1,1,0,2,2,1,0,0,0,2,0,0,2,0,0,1,1,8,0,3,1,2,0,2,1,2,2,2
"122","ENSG00000069431",1,4,1,1,2,4,0,2,0,1,0,1,2,0,1,0,0,1,0,4,0,2,2,4,2,2,0,4,1,1
"123","ENSG00000101986",627,604,786,479,928,644,105,77,782,879,589,1669,4,2,93,317,259,996,744,1220,0,685,604,706,459,965,1168,582,569,501
"124","ENSG00000215151",0,0,0,1,3,0,0,0,1,1,1,0,1,0,2,1,0,1,0,3,1,1,1,2,1,0,4,1,0,1
"128","ENSG00000173208",269,290,38,0,2,16,5,0,43,180,81,6,0,0,2,0,1,75,303,266,0,1,260,252,64,100,115,99,27,72
"129","ENSG00000117528",283,343,22,0,0,81,12,1,69,190,129,47,1,0,6,0,0,132,308,422,119,2,344,272,90,119,193,127,50,70
"130","ENSG00000119688",1511,1659,984,127,132,805,120,3,618,1152,1180,616,0,80,57,108,393,1583,1081,945,4,574,1273,903,423,1280,1518,916,1031,2162
"131","ENSG00000164163",675,429,96,47,43,117,11,0,82,348,134,58,5,29,4,4,338,97,477,509,109,1255,513,352,145,144,165,132,56,90
"132","ENSG00000204574",4204,4039,3559,1682,1247,3081,777,501,2352,4435,3054,2446,259,228,464,618,293,4375,2058,1469,339,2676,2609,2407,1746,3962,3875,2739,2480,5031
"133","ENSG00000033050",1458,1134,1088,246,216,633,146,37,700,1512,1096,503,22,96,19,200,1,2321,835,1077,1,967,1243,842,460,942,1076,592,896,1595
"134","ENSG00000242159",58,34,30,4,1,3,2,0,2,21,37,28,0,0,0,0,0,36,5,2,0,17,24,17,12,39,34,7,18,30
"135","ENSG00000228769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"136","ENSG00000161204",1522,2042,1481,263,458,1154,308,210,1107,1704,1520,1239,88,114,48,3,0,2030,1176,1077,0,935,1475,1483,1360,1891,2628,1210,942,3082
"137","ENSG00000160179",985,1381,689,87,595,531,249,15,190,1663,330,498,13,41,111,34,1,598,540,909,79,375,549,1572,1118,1453,1429,896,558,2925
"138","ENSG00000118777",7,14,1,1,0,0,0,1,0,8,0,2,1,1,5,0,0,32,7,2,0,3,16,4,5,5,7,12,7,1
"139","ENSG00000172350",0,7,0,1,1,0,0,3,0,1,0,2,1,1,1,3,0,5,2,8,0,2,2,5,4,3,3,10,1,3
"140","ENSG00000138075",1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1
"141","ENSG00000143921",0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0
"142","ENSG00000143994",12,26,28,0,4,19,0,1,8,17,2,24,1,1,1,0,0,0,12,5,188,1,13,12,0,13,22,26,5,4
"143","ENSG00000144827",279,347,92,48,64,58,11,0,68,262,146,83,0,0,8,0,0,224,184,291,0,1,275,202,106,112,134,89,43,122
"144","ENSG00000106077",192,205,385,142,134,375,98,113,227,147,396,332,77,9,16,1,9,467,154,205,0,258,176,139,139,429,488,268,160,262
"145","ENSG00000100997",730,759,500,55,243,408,160,70,491,844,673,529,76,115,77,27,168,1107,520,653,78,389,648,416,444,681,959,572,594,1629
"146","ENSG00000131969",1,2,1,3,3,0,0,0,2,1,0,0,7,9,0,0,0,0,17,2,0,2,1,2,1,2,3,4,2,1
"147","ENSG00000139826",648,663,276,54,49,133,43,0,186,513,194,248,25,29,18,112,0,239,494,974,0,0,548,1167,724,284,460,245,168,402
"148","ENSG00000248487",169,204,241,211,184,167,36,0,166,289,255,283,0,0,0,14,54,585,170,254,0,619,218,107,100,336,364,177,285,383
"149","ENSG00000114786",12,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,10,0,0,1
"150","ENSG00000114779",1068,1400,789,328,344,1216,187,25,653,1512,850,853,7,1,23,416,0,2676,1099,1271,612,2948,966,558,548,964,1312,952,1592,1944
"151","ENSG00000168792",649,506,875,78,65,234,69,47,341,924,427,180,24,4,33,0,2,1249,536,431,199,890,537,360,103,494,573,348,301,322
"152","ENSG00000204427",146,185,139,0,5,136,24,14,131,144,199,154,1,94,24,17,1,241,242,208,0,138,213,287,361,415,463,173,171,281
"153","ENSG00000183260",0,4,2,1,0,0,0,1,0,1,0,1,3,2,2,0,1,0,0,1,0,2,0,1,0,1,2,1,0,0
"154","ENSG00000129968",7112,6265,6442,1056,993,3123,1228,667,3643,5665,5432,5108,296,480,371,244,182,6947,2713,1488,717,3696,4917,2860,2488,6061,6652,2966,4042,6523
"161","ENSG00000107362",389,352,87,44,13,68,16,46,102,450,80,199,10,0,9,0,2,183,297,237,0,92,344,530,152,154,130,197,138,296
"162","ENSG00000136379",25,52,42,1,8,1,3,26,15,23,43,30,36,16,38,2,243,71,56,35,0,164,59,79,21,51,66,50,27,47
"163","ENSG00000140526",4413,7209,3038,639,592,951,672,315,3008,7038,1922,3046,141,269,439,187,3,3434,2877,8762,0,4675,4171,10007,10007,6582,6302,4603,3463,8296
"164","ENSG00000158201",1714,1392,561,1577,832,483,94,6,490,1590,673,621,3,8,147,119,0,554,796,1999,187,858,1217,2371,2134,1471,1842,1049,430,476
"165","ENSG00000100439",1009,1288,1220,354,227,304,204,0,652,1935,554,1103,8,71,87,0,1,1178,776,1718,172,1451,1118,2310,1485,1634,2470,1340,1374,2171
"166","ENSG00000011198",1841,2233,628,721,225,214,137,1,721,1791,361,830,118,48,22,7,1,414,770,1666,0,672,1463,6510,2235,1756,2512,1155,765,1051
"167","ENSG00000163686",100,156,34,5,22,17,6,105,71,328,67,94,59,7,19,0,0,228,134,196,0,2,163,138,23,74,125,96,120,84
"168","ENSG00000127220",215,148,351,289,566,261,58,2,281,321,266,909,18,1,15,276,0,574,200,405,0,296,245,284,88,413,479,201,205,420
"169","ENSG00000136754",3391,3092,1126,122,166,848,196,0,922,3145,1070,465,7,12,91,85,18,1053,2432,4505,245,1435,3182,5333,3363,2576,3405,2196,1282,2983
"170","ENSG00000138443",764,555,117,47,172,114,28,10,167,285,399,140,2,3,14,89,397,236,434,397,1,191,497,452,106,259,373,285,179,239
"171","ENSG00000108798",786,1116,3433,902,1165,312,419,2,1395,2341,1815,2584,32,86,106,73,142,6599,1251,1182,313,2777,1567,747,515,1278,1447,874,887,2029
"172","ENSG00000154175",4,0,0,3,2,0,0,1,1,0,1,0,1,2,1,3,0,0,0,1,0,3,1,4,3,2,2,3,2,5
"173","ENSG00000097007",1291,1510,753,71,74,255,139,167,470,811,1017,478,45,99,130,2,1,1569,1023,804,94,771,1249,761,318,983,1565,965,835,3075
"174","ENSG00000143322",914,1155,491,485,409,433,102,77,279,606,447,304,147,64,150,9,27,489,913,469,92,480,679,978,247,614,838,415,261,387
"175","ENSG00000099204",4928,4106,1003,133,314,1210,146,27,495,2022,1764,477,4,24,82,3,187,2365,3592,1742,1048,928,3132,2515,790,2319,2569,1829,1446,3813
"176","ENSG00000163995",137,113,53,0,58,23,11,1,28,69,56,78,4,3,1,0,1,53,37,29,0,288,57,25,33,60,62,47,25,33
"177","ENSG00000173210",207,337,663,162,338,750,26,2,228,180,287,513,6,0,20,0,2,1179,488,761,135,1180,157,645,288,154,923,275,225,614
"178","ENSG00000175164",223,4,5,0,0,60,0,1,0,75,63,6,0,1,1,0,0,22,24,14,0,1,127,27,15,15,28,49,6,28
"179","ENSG00000159842",6145,5926,5235,738,889,2079,977,235,3486,6951,3526,4639,175,880,449,87,536,5259,4126,7254,34,5492,5790,7198,2494,6985,8453,4637,4839,5215
"180","ENSG00000174429",0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,1,0,0,2,3,0,2
"181","ENSG00000146386",672,433,335,196,312,117,92,0,293,1279,218,525,0,27,14,55,499,707,669,1646,65,480,702,606,442,300,331,425,377,810
"182","ENSG00000146109",636,635,720,5,193,500,160,0,344,862,710,488,6,14,41,0,1,853,690,838,91,338,555,574,621,576,835,438,495,1338
"184","ENSG00000114626",12316,14111,14164,12596,12926,4214,4797,423,14057,16844,5813,29046,400,1201,848,3041,361,9417,5922,22631,1239,23712,13644,28558,22317,27130,36266,17049,17604,15543
"185","ENSG00000166016",143,205,267,77,9,257,40,38,96,417,200,138,36,97,80,428,0,198,143,271,0,182,278,261,1024,526,586,241,89,323
"4486","ENSG00000060971",3844,2900,2392,1238,873,2194,536,37,2389,5792,1843,2691,115,177,146,96,435,3313,2063,4689,100,2354,3336,5138,2364,3767,4672,2560,3939,4030
"4487","ENSG00000167315",716,506,271,29,44,227,77,19,264,902,358,236,1,38,6,0,0,568,579,522,1,409,672,450,246,310,380,291,331,858
"4488","ENSG00000278540",667,565,274,19,21,238,19,2,153,440,385,153,8,6,11,1,3,658,513,418,206,225,541,369,99,335,437,271,249,495
"4489","ENSG00000076555",999,1297,413,18,105,843,135,158,392,1025,894,366,12,86,33,360,0,1226,760,372,77,1227,491,523,160,1089,1430,843,510,613
"4490","ENSG00000111271",910,973,839,277,205,615,241,199,526,645,674,440,7,99,32,7,1,859,686,704,0,582,763,612,267,775,852,470,532,757
"4491","ENSG00000240303",146,142,170,0,32,79,1,0,10,59,155,21,0,8,0,0,0,88,46,71,0,0,96,60,15,62,140,61,25,94
"4492","ENSG00000151498",1103,1165,328,31,44,607,95,3,414,798,500,294,0,0,18,2,0,626,677,812,218,0,1373,837,362,765,1054,695,344,857
"4493","ENSG00000177646",1869,1762,409,73,92,410,182,201,607,528,739,292,0,0,31,0,0,826,1051,515,0,314,719,332,208,430,1659,341,295,560
"4494","ENSG00000115361",0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
"4495","ENSG00000117054",340,317,108,6,8,91,21,3,84,488,158,87,2,0,14,0,1,182,347,624,79,159,484,368,145,125,150,172,70,78
"4496","ENSG00000122971",352,400,419,245,211,696,136,3,264,449,283,461,4,6,10,220,168,647,265,326,77,687,429,182,131,320,408,258,197,833
"4497","ENSG00000196177",530,480,127,0,0,65,14,16,117,265,142,74,0,11,1,1,0,163,361,331,117,240,508,360,137,206,332,214,103,189
"4498","ENSG00000072778",9338,7688,5349,1264,2165,5368,957,425,3703,8365,5518,5686,67,247,175,285,395,6757,4060,5665,507,3464,10704,6540,2580,6513,10666,5554,5590,9701
"4499","ENSG00000157766",1,1,0,9,0,0,1,2,5,0,0,2,2,2,3,1,1,3,1,9,0,6,1,2,1,6,3,8,3,0
"4500","ENSG00000072818",13071,10978,13219,24744,16967,16385,2687,1144,9669,17543,15563,26739,89,772,637,4157,2353,17872,7818,9786,925,12416,10996,9030,5439,15943,20412,10438,11009,13432
"4501","ENSG00000114331",3530,3089,578,973,1120,393,231,49,1047,3078,1148,843,44,143,101,66,466,689,2273,4635,52,673,3029,6363,3021,2083,2728,2100,795,1479
"4503","ENSG00000131584",2159,2137,2400,1326,1636,3116,621,423,1510,2036,2553,3604,335,472,384,971,175,2728,2097,2638,112,1810,2303,1501,341,2512,3605,1900,1992,1472
"4504","ENSG00000075239",355,325,225,53,123,169,48,0,147,458,150,166,2,3,0,2,102,371,316,479,105,247,259,261,191,167,201,164,143,503
"4505","ENSG00000120437",674,487,373,46,179,283,60,0,347,808,207,221,1,62,37,0,1,483,394,472,5,494,409,355,342,313,395,258,361,1205
"4506","ENSG00000182827",959,837,273,26,18,236,42,3,179,698,457,152,1,48,218,101,0,411,704,731,0,1040,820,982,414,490,532,592,184,467
"4507","ENSG00000181513",321,459,319,97,179,889,105,36,247,308,546,474,0,0,5,58,2,880,349,354,67,1,314,176,95,387,510,263,308,339
"4508","ENSG00000107897",830,701,105,24,21,99,39,41,164,646,314,61,218,64,61,25,0,305,918,1017,0,3,1010,900,258,421,429,466,190,427
"4509","ENSG00000230124",483,364,106,34,35,211,29,279,136,191,315,183,1,37,21,0,0,289,273,367,0,0,472,254,97,250,319,192,151,354
"4510","ENSG00000176244",1,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,4,1,0,1,3,1,0,0,0,0,0,4
"4511","ENSG00000110455",796,901,126,935,237,472,141,210,183,502,622,693,3,45,10,2,3,1607,421,252,283,304,351,275,161,578,1035,325,238,1402
"4512","ENSG00000205126",3,1,16,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,5,5,0,0,0,18,0,0,3,6,1,8
"4513","ENSG00000102977",643,674,729,450,569,615,269,248,611,1052,913,1239,1,116,35,0,7,1725,607,809,0,1355,776,514,394,1016,1390,695,913,1024
"4514","ENSG00000159640",553,570,453,129,33,158,25,4,107,206,166,205,1,5,15,5,14,262,176,128,0,155,197,96,36,246,493,131,235,274
"4515","ENSG00000130234",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1
"4516","ENSG00000224353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4517","ENSG00000167769",15,24,1,6,10,0,0,0,0,21,14,21,0,0,0,0,2,26,8,3,0,2,7,4,12,17,21,13,8,7
"4518","ENSG00000177076",29,37,1,0,0,35,6,0,9,6,28,9,0,0,1,0,0,23,31,21,1,1,27,27,8,24,13,15,10,17
"4519","ENSG00000078124",410,401,267,151,438,172,26,0,213,687,81,147,3,73,7,4,79,166,338,589,33,329,526,797,326,227,302,286,156,239
"4520","ENSG00000087085",12,8,0,0,59,3,0,19,3,2,3,5,4,2,3,0,1,13,10,3,0,2,4,5,1,5,8,3,14,10
"4521","ENSG00000100813",9973,10540,5584,762,849,5467,983,769,4172,9293,8156,5539,406,331,741,196,306,9922,7437,8247,307,6749,9701,10852,4250,10901,12573,7864,6813,12999
"4522","ENSG00000144648",3,3,11,1,1,1,0,0,0,20,7,0,0,2,0,0,1,4,2,1,0,0,6,5,2,4,6,4,1,3
"4523","ENSG00000144476",128,72,23,0,0,48,4,0,45,56,46,21,0,2,1,0,0,269,35,24,0,0,120,38,37,59,107,116,7,49
"4524","ENSG00000129048",0,2,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,1,3,0,1,0,1,0,0
"4525","ENSG00000131473",3081,2749,2582,350,151,719,383,2,1236,4793,2451,877,7,221,161,0,280,4251,2588,3844,0,1831,3387,3143,1739,2374,2975,1987,2418,5073
"4526","ENSG00000153086",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,2,1
"4528","ENSG00000122729",209,169,73,2,15,86,18,0,89,253,88,108,66,1,7,3,0,136,120,322,100,128,271,188,139,121,129,102,69,157
"4529","ENSG00000100412",2879,2515,3681,247,631,1448,600,13,1694,4503,2090,1836,75,38,151,215,1,4821,1647,2557,264,3879,2308,1880,1473,2099,2938,1900,2596,6393
"4530","ENSG00000184227",41,59,40,0,0,33,6,0,23,21,23,50,0,0,2,0,0,36,11,26,0,0,9,28,13,29,19,13,44,132
"4531","ENSG00000162390",50,39,239,17,104,301,27,1,78,280,29,33,2,3,1,10,2,106,38,53,0,329,83,53,22,82,148,67,48,41
"4532","ENSG00000172497",3,0,1,0,1,0,0,1,2,1,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,7,0,0,0
"4533","ENSG00000112304",134,163,78,124,43,65,44,1,47,250,87,94,0,0,0,1,0,72,90,361,0,31,162,166,275,105,112,77,105,110
"4534","ENSG00000119673",60,89,21,0,0,1,3,0,56,66,55,61,0,45,6,0,0,119,84,67,37,0,92,52,53,55,58,50,78,263
"4535","ENSG00000177465",50,41,0,1,11,35,12,2,28,33,3,0,2,0,6,0,0,66,45,10,0,1,35,18,19,15,35,22,18,24
"4536","ENSG00000205669",1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"4537","ENSG00000097021",223,351,165,24,138,129,48,2,112,277,142,188,10,66,16,1,0,1113,224,274,0,182,199,244,454,151,207,197,231,1612
"4538","ENSG00000101473",720,622,764,419,488,818,257,0,559,792,635,741,179,80,33,121,0,1264,516,932,0,1067,575,569,770,998,1175,571,656,1102
"4539","ENSG00000123130",824,871,521,1965,666,495,73,2,429,1030,259,360,2,44,25,255,84,591,828,1424,0,1262,887,1276,1647,733,981,640,440,1614
"4540","ENSG00000161533",2129,1439,869,218,127,224,167,0,935,2695,394,623,12,42,85,59,1,400,915,3210,0,903,1372,5049,1732,1929,2570,1323,843,1940
"4541","ENSG00000168306",14,6,10,0,19,0,2,1,7,3,1,12,2,1,0,0,0,7,18,27,1,1,15,21,18,2,15,7,8,16
"4542","ENSG00000087008",314,287,280,3,66,106,81,2,146,312,176,97,1,0,4,1,0,339,197,235,0,323,324,263,117,234,325,192,174,321
